"dive.id","Species","Boccia.ID","Site","submersion.type","Submersion.naturally.terminated.","Mass","SVL","Sex","Rebreathing.type","Duration bp","num_all_rb bp","rb_full_rate bp","rb_full_int bp","first_rb bp","last_rb bp","rb_period bp","rate_adj_rb bp","low_rb bp","low_rb_rate bp","num_br bp","rate_br bp","num_gul bp","rate_gul bp","num_ch bp","rate_ch bp","dur_exh_tot bp","exh_pct bp","num_exh bp","exh_avg bp","soh bp","toh bp","hbn bp","lbn bp","num trials"
1,"maculigula","Boccia 261","Tatama","dunk","yes",12.7,80,"F","incidental",184.538,2,0.0108378762097779,44.304,209.8,254.104,44.304,0.0451426507764536,0,0,3,0.0162568143146669,1,0.00541893810488897,0,0,6.04400000000004,0.0327520619059491,4,1.51100000000001,1,1,0,0,1
2,"barkeri","Boccia 261M","Tuxtlas","dunk","yes",6.9,68,"F","sustained",183.151,14,0.0764396590791205,11.0123846153846,270.475,413.636,143.161,0.097791996423607,0,0,3,0.0163799269455258,13,0.0709796834306119,10,0.0612932883849219,10.031,0.0547690157301899,17,0.590058823529412,14,0,0,0,7
1,"maculigula","Boccia 262","Tatama","dunk","no",37.7,118,"M","incidental",475.229,2,0.00420849737705401,249.496,685.533,935.029,249.496,0.00801616057972873,0,0,8,0.016833989508216,38,0.0799614501640262,0,0,221.383,0.465844887412174,11,20.1257272727273,0,2,0,0,2
2,"barkeri","Boccia 262M","Tuxtlas","dunk","yes",7.1,72,"M","sustained",578.084,16,0.0276776385438794,238.889666666667,609.212,587.683,21.529,0.743183612801338,1,0.00172985240899246,14,0.0242179337258945,69,0.11935981622048,0,NA,368.044,0.636661800015223,27,13.6312592592593,15,0,1,1,5
2,"barkeri","Boccia 263M","Tuxtlas","dunk","yes",6.9,75,"M","sustained",219.203,27,0.123173496713092,79.1252692307692,414.053,405.838,8.21499999999997,3.28667072428485,2,0.00912396271948833,3,0.0136859440792325,13,0.0593057576766741,0,0,108.481,0.494888299886406,30,3.61603333333333,27,0,0,2,3
1,"maculigula","Boccia 264","Tatama","dunk","yes",8.1,69,"F","sustained",108.358,11,0.101515347274774,33.6415,130.192,129.733,0.459000000000003,23.9651416122003,2,0.0184573358681408,3,0.0276860038022112,4,0.0369146717362816,1,0.0585411544315654,34.915,0.322218940918068,15,2.32766666666667,10,1,0,2,1
1,"sericeus","Boccia 264M","Tuxtlas","dunk","yes",1.1,42,"M","no",120.69,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1
2,"maculigula","Boccia 265","Tatama","dunk","yes",28.9,113,"M","incidental",54.847,3,0.0546976133608037,3.1695,169.933,176.272,6.339,0.473260766682442,0,0,12,0.218790453443215,0,0,0,0,46.4090000000001,0.846153846153847,14,3.31492857142858,0,3,0,0,2
1,"sericeus","Boccia 265M","Tuxtlas","dunk","yes",0.8,37,"M","no",117.916,0,0,NA,NA,NA,NA,NA,0,0,0,0,1,0.00848061331795515,0,0,0,0,0,NA,0,0,0,0,1
1,"barkeri","Boccia 266M","Tuxtlas","dunk","yes",7.6,70,"F","sustained",90.742,18,0.198364594124,4.543,54.003,131.234,77.231,0.233067032668229,0,0,2,0.0220405104582222,3,0.0330607656873333,0,0,58.076,0.640012342685857,12,4.83966666666667,18,0,0,0,5
