"VideoID","ID","Start","End","Duration","num_all_rb","rb_full_rate","rb_full_int","first_rb","last_rb","rb_period","rate_adj_rb","low_rb","low_rb_rate","num_br","rate_br","num_gul","rate_gul","num_ch","rate_ch","coov","toov","hoov","dur_exh_tot","exh_pct","num_exh","exh_avg","soh","toh","hbn","lbn","dive.id","Species","Boccia.ID","Site","submersion.type","Submersion.naturally.terminated.","Mass","SVL","Sex","Rebreathing.type"
"Boccia234natural dive","Boccia 234",0,41.792,41.792,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,"maculigula","Boccia 234","Tatama","voluntary","no",14.4,85,"F","no"
"Boccia235 hide + dunk","Boccia 235",152.5,255.359,102.859,5,0.0486102334263409,17.0975,179.817,248.207,68.39,0.0731101038163474,0,0,1,0.00972204668526818,0,0,0,0,22.999,0,0,18.224,0.177174578792327,6,3.03733333333333,2,3,0,0,1,"maculigula","Boccia 235","Tatama","dunk","no",16.8,54,"F","sustained"
"Boccia235","Boccia 235",10.762,302.356,291.594,9,0.0474676033607063,31.66275,34.023,287.325,253.302,0.0355307103773361,0,0,1,0.00527417815118959,3,0.113692348504946,0,0,101.991,265.207,101.991,74.887,0.394967379208135,9,8.32077777777778,9,0,0,0,1,"maculigula","Boccia 235","Tatama","dunk","yes",16.8,54,"F","sustained"
"Boccia235M","Boccia 235M",327.675,506.512,178.837,3,0.0167750521424537,8.1105,337.948,335.071,2.87699999999995,1.0427528675704,2,0.0111833680949692,1,0.00559168404748458,6,0.0335501042849075,0,0,0,0,0,163.615,0.914883385429189,6,27.2691666666667,2,1,0,2,1,"uniformis","Boccia 235M","Tuxtlas","dunk","yes",1.6,36,"M","incidental"
"Boccia236M 2","Boccia 236M",268.618,301.877,33.259,0,0,NA,NA,NA,NA,NA,0,0,0,0,1,0.0300670495204305,0,0,0,0,0,21.56,0.648245587660483,1,21.56,0,0,0,0,2,"barkeri","Boccia 236M","Tuxtlas","dunk","no",0.5,30,"J","no"
"Boccia236M","Boccia 236M",229.328,251.606,22.278,0,0,NA,NA,NA,NA,NA,0,0,0,0,1,0.0448873327946854,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,"barkeri","Boccia 236M","Tuxtlas","dunk","yes",0.5,30,"J","no"
"Boccia237M","Boccia 237M",94.447,152.478,58.031,0,0,NA,NA,NA,NA,NA,0,0,0,0,4,0.0689286760524547,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,"uniformis","Boccia 237M","Tuxtlas","dunk","yes",0.5,26,"J","no"
"Boccia238M 2","Boccia 238M",244.341,266.138,21.797,0,0,NA,NA,NA,NA,NA,0,0,0,0,1,0.0458778731018031,0,0,0,0,0,0.58299999999997,0.0267468000183498,1,0.58299999999997,0,0,0,0,2,"barkeri","Boccia 238M","Tuxtlas","dunk","yes",1.4,39,"J","no"
"Boccia238M 3","Boccia 238M",204.806,229.942,25.136,6,0.238701464035646,4.0034,209.508,229.525,20.017,0.299745216565919,0,0,0,0,0,0,0,0,0,0,0,6.25000000000003,0.248647358370466,6,1.04166666666667,6,0,0,0,3,"barkeri","Boccia 238M","Tuxtlas","dunk","yes",1.4,39,"J","sustained"
"Boccia238M 4","Boccia 238M",322.927,390.987,68.06,0,0,NA,NA,NA,NA,NA,0,0,0,0,1,0.0146929180135175,0,0,0,0,0,0,0,0,NA,0,0,0,0,4,"barkeri","Boccia 238M","Tuxtlas","dunk","yes",1.4,39,"J","no"
"Boccia238M","Boccia 238M",116.217,127.731,11.514,2,0.173701580684384,1.29299999999999,119.933,121.226,1.29299999999999,1.54679040989947,0,0,0,0,0,0,0,0,0,0,0,8.83799999999999,0.767587285044294,3,2.946,2,0,0,0,1,"barkeri","Boccia 238M","Tuxtlas","dunk","yes",1.4,39,"J","incidental"
"Boccia238M_2 2","Boccia 238M",117.468,135.988,18.52,2,0.107991360691145,2.711,124.687,127.398,2.711,0.737735153080045,0,0,0,0,0,0,0,0,0,0,0,3.46000000000001,0.186825053995681,2,1.73,2,0,0,0,2,"barkeri","Boccia 238M","Tuxtlas","dunk","yes",1.4,39,"J","incidental"
"Boccia238M_2 3","Boccia 238M",141.076,161.176,20.1,1,0.0497512437810945,NA,160.55,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,11.303,0.562338308457711,2,5.6515,1,0,0,0,3,"barkeri","Boccia 238M","Tuxtlas","dunk","yes",1.4,39,"J","incidental"
"Boccia238M_2","Boccia 238M",36.853,107.798,70.945,5,0.0741377776459773,4.4725,39.616,57.506,17.89,0.279485746226942,0,0,0,0,0,0,0,0,3.503,3.503,3.503,3.082,0.0456985261409804,4,0.7705,5,0,0,0,1,"barkeri","Boccia 238M","Tuxtlas","dunk","yes",1.4,39,"J","sustained"
"Boccia239 dunk","Boccia 239",62.165,82.694,20.529,10,0.48711578742267,1.77144444444444,65.166,81.109,15.943,0.627234522988145,0,0,3,0.146134736226801,0,0,0,NA,20.529,0,0,6.166,0.300355594524818,10,0.6166,0,10,0,0,1,"maculigula","Boccia 239","Tatama","dunk","yes",31.9,NA,"M","sustained"
